"nr","country","year","fertility","urbanpop","energyuse","fossile","ggemission","arableland","womenedu","livestock","fertilizers","gdp","name","pop"
"134","MNG","2020",2.9,68.657,,,,1340479.9,3.89315009117126,177.18,33.2139258484965,3720,"Mongolia",3294335
"135","MNP","2020",,91.798,,,,80,,,,,"Northern Mariana Islands",49587
"136","MOZ","2020",4.713,37.074,,,,5650000,,105.5,11.2136831858407,470,"Mozambique",31178239
"137","MRT","2020",4.455,55.327,,,,400000,,104.72,,1790,"Mauritania",4498604
"138","MUS","2020",1.44,40.76,,,,75000,,101.07,150.467866666667,9940,"Mauritius",1265740
"139","MWI","2020",3.995,17.427,,,,3600000,,144.5,32.5836111111111,580,"Malawi",19377061
"140","MYS","2020",1.818,77.16,,,,826000,,98.86,1952.09202179177,10320,"Malaysia",33199993
"141","NAM","2020",3.349,52.033,,,,800000,,96.23,3.72615,4650,"Namibia",2489098
"142","NCL","2020",2.037,71.518,,,,5970,,92.53,248.91122278057,,"New Caledonia",271130
"143","NER","2020",6.892,16.626,,,,17700000,,123.55,0.586468361581921,550,"Niger",24333639
"144","NGA","2020",5.309,51.958,,,,35000000,,104.73,19.6057142857143,2020,"Nigeria",208327405
"145","NIC","2020",2.349,59.012,,,,1504000,,140.63,77.0111635638298,1740,"Nicaragua",6755895
"146","NLD","2020",1.55,92.236,,,,1004830,12.0123500823975,101.58,277.847994188072,50170,"Netherlands",17441500
"147","NOR","2020",1.48,82.974,,,,804497,,101.58,208.41096983581,77880,"Norway",5379475
"148","NPL","2020",2.055,20.576,,,,2113700,,121.92,101.977442399584,1180,"Nepal",29348627
"149","NRU","2020",,100,,,,,,90.85,,15240,"Nauru",12315
"150","NZL","2020",1.61,86.699,,,,527000,6.19897985458374,102.01,1725.88848197343,41480,"New Zealand",5090200
"151","OMN","2020",2.687,86.276,,,,74660,1.75288999080658,143.69,329.563487811412,17110,"Oman",4543399
"152","PAK","2020",3.555,37.165,,,,30930000,,126.15,155.150889104429,1420,"Pakistan",227196741
"153","PAN","2020",2.344,68.414,,,,565000,,104.98,77.5124955752212,12470,"Panama",4294396
"154","PER","2020",2.216,78.297,,,,3580226,,117.91,155.526410902552,6000,"Peru",33304756
"155","PHL","2020",2.777,47.408,,,,5590000,,94.22,209.167878354204,3350,"Philippines",112190977
"156","PLW","2020",,80.988,,,,300,,,,14640,"Palau",17972
"157","PNG","2020",3.274,13.345,,,,300000,,103.11,116.1741,2470,"Papua New Guinea",9749640
"158","POL","2020",1.38,60.043,,,,10921000,25.6062202453613,117,158.318835271495,15300,"Poland",37899070
"159","PRI","2020",0.9,93.581,,,,50200,,90.36,,21240,"Puerto Rico",3281538
"160","PRK","2020",1.818,62.381,,,,2280000,,96.94,13.9914780701754,,"Korea, Dem. People's Rep.",25867467
"161","PRT","2020",1.4,66.31,,,,951534.3,18.7681198120117,105.48,189.995305476639,21850,"Portugal",10297081
"162","PRY","2020",2.497,62.183,,,,4734000,6.28854990005493,111.93,123.417917194761,5550,"Paraguay",6618695
"163","PSE","2020",3.57,76.719,,,,69800,1.26652002334595,111.45,,3700,"West Bank and Gaza",4803269
