"name","year","elecons","allowances","crimes","urban","wages","nonworking","pop","detect"
"Powiat parczewski","2022",669.1,1149,559,31.58,80.5,0,32608,77.3
"Powiat radzyński","2022",640.1,2886,892,26.04,82.7,0,55493,83.7
"Powiat włodawski","2022",638.1,3335,565,34.26,78.1,0,35802,88.3
"Powiat m. Biała Podlaska","2022",667.4,8537,1135,100,84.9,0,54768,80
"Powiat biłgorajski","2022",611,2390,893,33.76,76.2,0,97055,78.6
"Powiat chełmski","2022",616.2,901,911,9.92,76.5,0,74358,80.8
"Powiat hrubieszowski","2022",669.4,3417,881,28.11,81.8,0,57594,88.6
"Powiat krasnostawski","2022",610.6,1932,843,32.19,80.2,0,59754,81.3
"Powiat tomaszowski","2022",573.4,2041,1259,30.86,76.1,0,77963,86
"Powiat zamojski","2022",600,784,1427,10.47,73.5,0,101388,84.3
"Powiat m. Chełm","2022",602,5542,1431,100,83.8,0,57933,76.7
"Powiat m. Zamość","2022",565.7,9185,1131,100,87.6,0,58942,81.8
"Powiat lubartowski","2022",656.3,1739,1174,31.41,78.3,0,84578,83.5
"Powiat lubelski","2022",676,1728,1500,6.47,76.3,0,163209,61.6
"Powiat łęczyński","2022",630.9,1420,847,31.87,127.4,0,55926,81.3
"Powiat świdnicki","2022",630.1,3559,1288,56.66,91.9,0,69586,73.4
"Powiat m. Lublin","2022",733.2,26338,7376,100,95.5,0,331243,58.8
"Powiat janowski","2022",542.9,410,398,28.85,83.1,0,43188,70.8
"Powiat kraśnicki","2022",541.3,2620,1150,39.69,76.6,0,90085,82.4
"Powiat łukowski","2022",681.7,3201,1258,29.39,78.4,0,101536,76.3
"Powiat opolski","2022",641,5569,809,30.51,76.5,0,56163,75.8
"Powiat puławski","2022",672,4347,1880,47.51,93.3,0,107914,71.8
"Powiat rycki","2022",617,2023,826,45.04,79.9,0,52021,78.1
"Powiat bieszczadzki","2022",578,4346,215,40.95,85.7,0,20777,75.7
"Powiat brzozowski","2022",493.8,586,579,11.39,75.3,0,63591,79.6
"Powiat jasielski","2022",510.5,5838,1162,31.46,81.3,0,109582,65.4
"Powiat krośnieński","2022",510,784,1584,11.6,72.2,0,109122,70.9
"Powiat sanocki","2022",544.6,4771,1200,43.94,78.5,0,90294,73.9
"Powiat leski","2022",731.9,989,378,20.23,87,0,25565,90.8
"Powiat m. Krosno","2022",567.5,3257,702,100,80.8,0,44322,57.7
"Powiat jarosławski","2022",552.7,7447,1040,38.01,79.2,0,116458,73.3
"Powiat lubaczowski","2022",515.7,1475,562,34.17,76.3,0,52983,75.8
"Powiat przemyski","2022",570.5,448,742,1.14,75.4,0,71393,62.2
"Powiat przeworski","2022",521.3,1477,732,25.75,76.2,0,76094,76.8
"Powiat m. Przemyśl","2022",640.5,10850,1208,100,81.3,0,56802,63.6
"Powiat kolbuszowski","2022",459.6,831,649,13.95,75.8,0,61389,65.7
"Powiat łańcucki","2022",556.5,1306,840,21.84,79.7,0,80802,80.8
"Powiat ropczycko-sędziszowski","2022",518.5,599,754,38.07,79.7,0,74066,65.9
"Powiat rzeszowski","2022",552.4,830,1652,19.22,84.8,0,174805,62.2
"Powiat strzyżowski","2022",500.9,1294,424,14.25,72.1,0,59514,66.3
"Powiat m. Rzeszów","2022",682.6,21878,4461,100,97.1,0,197181,48.4
"Powiat dębicki","2022",578.6,5057,1679,38.35,82.1,0,132873,66
"Powiat leżajski","2022",429.8,2650,687,27.36,80.1,0,67015,79
"Powiat mielecki","2022",561.5,5140,1752,46.91,87.2,0,133320,63.5
"Powiat niżański","2022",472.5,1309,885,35.03,74.9,0,64057,62.9
"Powiat stalowowolski","2022",535.2,2536,1375,57.71,86.8,0,101637,63.4
"Powiat tarnobrzeski","2022",494.8,2170,672,23.1,85.7,0,51300,82.9
"Powiat m. Tarnobrzeg","2022",522.7,7131,975,100,81.7,0,44156,70.3
"Powiat białostocki","2022",855.4,6876,2161,34.77,83.5,0,156370,71
"Powiat sokólski","2022",712,4817,938,42.8,82.1,0,62063,85.9
"Powiat m. Białystok","2022",639.9,40584,5558,100,92.2,0,292600,64.4
"Powiat bielski","2022",801.7,3253,710,53.89,102,0,51151,81.9
"Powiat hajnowski","2022",742.7,4341,849,51.48,101,0,39427,86.7
"Powiat kolneński","2022",965.7,1549,461,33.28,81.6,0,35921,78.3
"Powiat łomżyński","2022",1023.3,426,479,7.62,90.8,0,49711,69
"Powiat siemiatycki","2022",732.8,1001,691,37.16,81.1,0,41114,88.7
"Powiat wysokomazowiecki","2022",1071.1,1037,662,33.3,90.5,0,53842,76.9
"Powiat zambrowski","2022",973.8,2193,717,50.55,83.5,0,41550,84.8
"Powiat m. Łomża","2022",635,6976,1333,100,86.9,0,60128,71.7
"Powiat augustowski","2022",863.4,2733,1624,56.93,90.2,0,54917,86.8
"Powiat grajewski","2022",804.3,3388,3937,57.43,91.6,0,44724,84.8
"Powiat moniecki","2022",799.9,1757,518,36.84,82.5,0,37732,71.1
"Powiat sejneński","2022",1015,952,336,26.29,94.1,0,18802,82.5
"Powiat suwalski","2022",1021.2,869,434,0,79.4,0,34778,65
"Powiat m. Suwałki","2022",654.9,11149,1417,100,82.7,0,68525,76.3
"Powiat m. st. Warszawa","2022",1075.6,100514,55791,100,127.4,0,1861975,45.3
"Powiat legionowski","2022",957,5295,2909,44.48,90,0,130278,60.7
"Powiat miński","2022",935.9,4135,2081,46.38,86.3,0,159034,63.5
"Powiat otwocki","2022",1062.3,4805,2610,58.86,96.5,0,126649,71
"Powiat wołomiński","2022",895.7,8350,7985,70.97,90.5,0,273411,48
"Powiat grodziski","2022",1049.7,3071,2458,52.38,106.5,0,104434,61.7
"Powiat nowodworski","2022",889.6,3117,1912,49.04,112.4,0,79719,64.9
"Powiat piaseczyński","2022",1201.2,6420,3907,40.12,96.9,0,212129,49.4
